title,description,cover,categoryName,recipe,nutritionistTips,protein,carbs,fat,fiber,calories
Bowl Proteico de Frango,Almoço equilibrado com fibras e proteína.,https://images.unsplash.com/photo-1546069901-eacef0df6022?w=900&h=600&fit=crop,Almoço,"Grelhe o frango, monte com arroz integral, brócolis e cenoura.",Prefira arroz integral para maior saciedade.,32,45,12,8,420
Lanche da Tarde Fit,Sanduíche integral com pasta de atum.,https://images.unsplash.com/photo-1550507992-eb63ffee0847?w=900&h=600&fit=crop,Lanche,Misture atum com iogurte e mostarda. Monte no pão integral.,Troque maionese por iogurte para reduzir gordura.,24,30,6,5,280
Jantar Leve,Sopa de legumes com frango desfiado.,https://images.unsplash.com/photo-1547592166-23ac45744acd?w=900&h=600&fit=crop,Jantar,"Cozinhe legumes e frango, bata metade no liquidificador.",Evite exagerar no sal; use ervas.,20,18,4,6,190
Café da Manhã Funcional,Iogurte com granola e frutas vermelhas.,https://images.unsplash.com/photo-1488477181946-6428a0291777?w=900&h=600&fit=crop,Café da Manhã,"Monte camadas de iogurte, granola e frutas.",Evite granolas com açúcar refinado.,15,35,7,5,260
Salada Colorida,Mix de folhas com legumes e castanhas.,https://images.unsplash.com/photo-1540189549336-e6e99c3679fe?w=900&h=600&fit=crop,Almoço,"Misture folhas, tomate, cenoura, pepino e castanhas.",Adicione azeite extra virgem na hora.,8,20,10,6,210
Panqueca de Aveia,Panqueca leve com banana e mel.,https://images.unsplash.com/photo-1504754524776-8f4f37790ca0?w=900&h=600&fit=crop,Lanche,"Bata aveia, ovo e banana. Grelhe em frigideira antiaderente.",Evite excesso de mel.,12,40,6,4,300
Wrap Integral,"Wrap com frango, alface e creme leve.",https://images.unsplash.com/photo-1466978913421-dad2ebd01d17?w=900&h=600&fit=crop,Lanche,Recheie o wrap com frango desfiado e legumes.,Prefira wraps integrais.,22,28,7,5,290
Peixe Grelhado,Filé de peixe com legumes salteados.,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=900&h=600&fit=crop,Jantar,Grelhe o peixe e salteie legumes com azeite.,Use ervas frescas para temperar.,28,15,8,4,240
Sobremesa Fit,Mousse de cacau com abacate.,https://images.unsplash.com/photo-1490645935967-10de6ba17061?w=900&h=600&fit=crop,Sobremesa,Bata abacate com cacau e adoçante.,Cacau puro é rico em antioxidantes.,4,12,14,5,180
Smoothie Verde,Bebida nutritiva com couve e frutas.,https://images.unsplash.com/photo-1497534446932-c925b458314e?w=900&h=600&fit=crop,Bebida,"Bata couve, banana, maçã e água.",Consuma logo após bater.,3,25,2,4,140
Arroz Integral com Legumes,Prato simples e nutritivo para o dia a dia.,https://images.unsplash.com/photo-1512058564366-18510be2db19?w=900&h=600&fit=crop,Almoço,Cozinhe o arroz integral e misture legumes cozidos.,Use legumes da estação.,9,48,5,6,320
Omelete de Legumes,Omelete leve com tomate e espinafre.,https://images.unsplash.com/photo-1504754524776-8f4f37790ca0?w=900&h=600&fit=crop,Jantar,"Bata ovos e misture legumes, cozinhe em fogo baixo.","Evite fritura pesada, use azeite.",18,6,10,2,210
Bowl de Quinoa com Legumes,Almoço leve e rico em fibras.,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=900&h=600&fit=crop,Almoço,Cozinhe a quinoa e misture com legumes salteados.,Use azeite extra virgem após o preparo.,14,42,9,7,320
Frango com Batata Doce,Combinação clássica para energia e saciedade.,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=900&h=600&fit=crop,Almoço,Grelhe o frango e asse a batata doce.,Tempere com ervas para reduzir o sal.,28,35,6,5,360
Macarrão Integral ao Pesto,Prato simples com fibras e gorduras boas.,https://images.unsplash.com/photo-1526318896980-cf78c088247c?w=900&h=600&fit=crop,Almoço,Cozinhe o macarrão e misture com pesto.,Prefira molho caseiro.,12,48,10,6,380
Salada de Grão-de-bico,Almoço leve e proteico.,https://images.unsplash.com/photo-1540189549336-e6e99c3679fe?w=900&h=600&fit=crop,Almoço,Misture grão-de-bico com legumes e tempero.,Use limão para realçar o sabor.,13,30,8,9,290
Tapioca com Ovo e Queijo,Café da manhã prático e nutritivo.,https://images.unsplash.com/photo-1490645935967-10de6ba17061?w=900&h=600&fit=crop,Café da Manhã,Prepare a tapioca e recheie com ovo mexido.,Use queijo branco para reduzir gordura.,18,26,7,2,260
Overnight Oats,Aveia hidratada com frutas.,https://images.unsplash.com/photo-1488477181946-6428a0291777?w=900&h=600&fit=crop,Café da Manhã,Misture aveia com iogurte e deixe na geladeira.,Adicione chia para mais fibras.,12,34,6,6,240
Sanduíche de Peru,Lanche rápido e leve.,https://images.unsplash.com/photo-1550507992-eb63ffee0847?w=900&h=600&fit=crop,Lanche,"Use pão integral, peito de peru e folhas.",Evite maionese; use pasta de ricota.,20,28,5,4,250
Iogurte Proteico com Frutas,Lanche prático pós-treino.,https://images.unsplash.com/photo-1497534446932-c925b458314e?w=900&h=600&fit=crop,Lanche,Misture iogurte com frutas e granola.,Prefira granola sem açúcar.,16,24,4,3,220
Sopa de Abóbora,Jantar leve e reconfortante.,https://images.unsplash.com/photo-1547592166-23ac45744acd?w=900&h=600&fit=crop,Jantar,Cozinhe abóbora e bata com temperos.,Use gengibre para dar sabor.,6,22,4,5,170
Omelete com Espinafre,Jantar rápido e proteico.,https://images.unsplash.com/photo-1504754524776-8f4f37790ca0?w=900&h=600&fit=crop,Jantar,Misture ovos com espinafre e cozinhe.,Use pouco óleo.,19,6,9,2,210
Mousse de Maracujá Fit,Sobremesa leve com fruta.,https://images.unsplash.com/photo-1512058564366-18510be2db19?w=900&h=600&fit=crop,Sobremesa,Misture iogurte natural com maracujá.,Adoce com mel moderadamente.,6,18,5,3,160
Bolo de Banana Fit,Sobremesa saudável sem açúcar refinado.,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=900&h=600&fit=crop,Sobremesa,"Amasse banana, aveia e ovo; asse.",Use canela para adoçar.,7,28,6,4,230
